genename	rnapol2
Polr2b	yes
Tex26	yes
Tnpo1	yes
Lamb3	yes
Iftap	yes
Cpne9	no
Dmd	no
Mark3	yes
Nlgn3	no
Hnrnpul1	yes
Pip5k1b	yes
Atad2	yes
Ecel1	no
Sik1	yes
Tmod2	no
Aspm	yes
Clasp2	yes
Col8a1	no
Dnah9	no
Il13ra2	no
Pnldc1	no
Abca16	no
Camkmt	no
Hunk	no
Ms4a19	no
Nsd3	yes
Rcan2	no
Robo1	no
Slc37a1	yes
Tmprss11b	no
Dennd5b	no
Gpc4	no
Dnah6	no
Extl2	yes
Frem1	no
Pde6c	no
Ptprc	yes
Tmem106c	yes
Itgam	yes
Selenoi	yes
Stra6	no
Fryl	yes
Mlc1	no
Smarcad1	yes
Acaca	yes
App	no
Kmt5b	yes
Tex14	yes
Xpo1	no
Arhgap10	yes
