genename	mutatedSamplesFrc
Kdm3a	0.227272727272727
Cped1	0.181818181818182
Larp1b	0.181818181818182
Huwe1	0.181818181818182
Aspm	0.181818181818182
Cop1	0.136363636363636
Psme4	0.136363636363636
C2cd6	0.136363636363636
Epp13	0.136363636363636
Gm10823	0.136363636363636
Ubr3	0.136363636363636
Prkd1	0.136363636363636
Dclk1	0.136363636363636
Frmd3	0.136363636363636
Hnrnph3	0.136363636363636
Usp48	0.136363636363636
Fn1	0.136363636363636
Glipr1l2	0.136363636363636
Rad51b	0.136363636363636
Nbeal1	0.136363636363636
Cmip	0.136363636363636
Fnip1	0.136363636363636
Ryr3	0.0909090909090909
Sorl1	0.0909090909090909
Lgr5	0.0909090909090909
Ttn	0.0909090909090909
Gfm2	0.0909090909090909
Abhd5	0.0909090909090909
Atp11b	0.0909090909090909
Atp8a1	0.0909090909090909
Chac2	0.0909090909090909
Gadd45g	0.0909090909090909
Neb	0.0909090909090909
Otoa	0.0909090909090909
Phka1	0.0909090909090909
Pigx	0.0909090909090909
Adgrv1	0.0909090909090909
Glrx2	0.0909090909090909
Hydin	0.0909090909090909
Klrh1	0.0909090909090909
Mcf2	0.0909090909090909
Nebl	0.0909090909090909
Setx	0.0909090909090909
Trip11	0.0909090909090909
Zbtb33	0.0909090909090909
Zranb2	0.0909090909090909
Arfgap3	0.0909090909090909
Crybg1	0.0909090909090909
Gm11110	0.0909090909090909
Hectd1	0.0909090909090909
