genename	rnapol2
Kdm3a	yes
Cped1	no
Larp1b	yes
Huwe1	yes
Aspm	yes
Cop1	no
Psme4	yes
C2cd6	no
Epp13	no
Gm10823	no
Ubr3	yes
Prkd1	no
Dclk1	no
Frmd3	no
Hnrnph3	yes
Usp48	yes
Fn1	no
Glipr1l2	no
Rad51b	no
Nbeal1	yes
Cmip	yes
Fnip1	yes
Ryr3	no
Sorl1	yes
Lgr5	no
Ttn	no
Gfm2	yes
Abhd5	yes
Atp11b	yes
Atp8a1	yes
Chac2	yes
Gadd45g	yes
Neb	no
Otoa	no
Phka1	no
Pigx	yes
Adgrv1	no
Glrx2	no
Hydin	no
Klrh1	no
Mcf2	no
Nebl	no
Setx	yes
Trip11	yes
Zbtb33	yes
Zranb2	yes
Arfgap3	yes
Crybg1	no
Gm11110	no
Hectd1	yes
Herc1	yes
Lca5l	no
Nae1	yes
Ptgr1	yes
Sf3b1	no
Tns3	no
9530059O14Rik	no
Heatr6	yes
Phka2	no
Tmem33	yes
Trpc1	no
Aox1	no
Cdh6	no
Dock11	yes
Fsip2l	no
Gspt1	yes
Gtdc1	yes
Lifr	yes
Lrrc40	yes
Mfsd1	yes
Mir99ahg	no
Nin	yes
Nup210l	no
Rimklb	no
Robo1	no
Smarca2	yes
Zfp451	yes
Abca7	yes
Adam10	yes
Adgrl2	no
Sh3kbp1	yes
Vwf	yes
Abca8a	no
Dock1	no
Dync1i1	no
Mbtps2	yes
Myl1	no
Ofcc1	no
Pds5a	yes
Rhoj	no
Bnip2	yes
Nipbl	no
Epb41l4b	no
4933404G15Rik	no
Grm8	no
Mei1	no
Rev3l	yes
Usp34	no
2610507B11Rik	yes
Mcmbp	yes
Stxbp5	yes
Copa	yes
Kcnma1	no
Ankhd1	yes
Dmd	no
Gabrg2	no
Rell1	yes
Slc24a4	no
Atad2	yes
Hmcn1	no
Kpna1	yes
Ppp3ca	yes
Spink5	no
1700017N19Rik	no
Wls	no
Btbd16	yes
Eif2ak3	yes
Gm10646	no
Papss2	no
Pcx	yes
Tapbp	yes
Flt3	yes
Ipo8	yes
Steap1	no
Glis3	no
Cfl2	yes
Egf	yes
Nolc1	no
Hdhd2	yes
Brwd3	no
Atg2b	yes
Adamts20	no
Aplf	yes
Arhgap25	no
Arhgef26	no
Atr	yes
C87436	yes
Ccnl1	yes
Cdk13	no
Cenph	no
Dennd5a	no
Dock2	yes
Fastkd1	no
Fer1l4	no
Fnbp4	yes
Fry	yes
Gabpb1	yes
Gpcpd1	yes
Inip	yes
Ist1	yes
Kmt2c	yes
Map4k5	yes
Mapk6	no
Mpp7	yes
Mrpl47	yes
Msra	yes
Nsun7	no
Pkhd1	no
Prpf8	yes
Psmc5	yes
Ralgapb	yes
Rps6ka3	yes
Scyl2	yes
Trim33	yes
Trrap	yes
Vti1a	no
Wdr33	yes
Ydjc	no
Zfp74	yes
Adam23	no
Ankrd10	yes
Atp6v1c1	yes
Ccng2	yes
Ces1e	no
Ckap5	yes
Cpsf6	yes
Crot	yes
Ctps2	yes
Ddx60	no
Ep300	yes
Eppin	no
Ero1b	yes
Filip1l	yes
Gskip	yes
Kcnj15	yes
Kcnn1	no
L2hgdh	yes
Lias	yes
Lrpprc	yes
Metap2	yes
Mettl5	yes
Nbea	no
Neo1	no
Nkain2	no
Nrbp1	yes
Nsmaf	yes
Plekha1	yes
Rrnad1	yes
Stat1	yes
Stx3	no
Synj1	no
Thoc2	yes
Utp20	yes
Vps33a	yes
Arl4d	yes
Casd1	no
Cdkl1	no
Chrdl1	no
Clrn2	no
Col6a3	no
Epha4	no
Epsti1	yes
Far1os	yes
Fhl5	no
Gm648	no
Gm6614	no
Hacd4	no
Hspbap1	yes
Ift88	no
Il19	no
Mat2a	yes
Matn3	no
Mtrex	no
Naa35	yes
Necab1	no
Pam	no
Pex11a	no
Pole2	yes
Ppp4r3a	yes
Psme2	no
Rundc3b	no
Sdad1	no
Sec24d	yes
Slc46a2	no
Ssr1	yes
Tmem40	no
Tpp2	yes
Ubr5	yes
Uggt1	yes
Utp18	yes
Wwc2	no
Yipf1	yes
Zfp280c	yes
Adamts9	no
Ankrd44	yes
Atp6v0b	yes
Atrn	yes
Chil5	no
Cplx1	no
Ddx46	yes
Dennd2d	yes
Dnajc2	yes
Fam120a	no
Fnbp1	yes
Gclm	no
Gk5	no
Grk4	yes
Itih5	no
Malrd1	no
Map3k4	yes
Mllt3	yes
Myt1	no
Pkp4	yes
Pola1	yes
Ppil6	yes
Pttg1ip2	no
Rragb	no
