genename	1600322-1-LK524-KO--C76-1_S16	1600322-2-LK524-KO--C14-1_S9	1600322-3-LK524-KO--C34-1_S15	1600322-6-LK524-KO--C89-1_S11	1600322-7-LK524-KO--C25-1_S5	LK1349_KO__C45_1_S9	LK1349_KO__C48_1_S12	LK1349_KO__C86_1_S8	LK524-KO-C01-1_S3	LK524-KO-C67-1_S6	1600322-4-LK524-KO--C16-1_S13	LK1349_KO__C22_1_S5	LK1349_KO__C23_1_S4	LK1349_KO__C34_1_S7	LK1349_KO__C46_1_S11	LK1349_KO__C49_1_S15	LK1349_KO__C61_1_S1	LK1349_KO__C64_1_S3	LK1349_KO__C93_1_S10	LK524-KO-C07-1_S14	LK524-KO-C13-1_S9	LK524-KO-C33-1_S1	mutatedSamples	mutatedSamplesFrc
Kdm3a	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0.333333333333333	0.333333333333333	0	5	0.227272727272727
Cped1	0	0.2	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	4	0.181818181818182
Larp1b	0	0.25	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	4	0.181818181818182
Huwe1	0	0	0.0909090909090909	0	0	0	0.0909090909090909	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0.0909090909090909	0	0	4	0.181818181818182
Aspm	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.2	0	0	4	0.181818181818182
Cop1	0	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0	0	0	0	0	0	0.142857142857143	0	0	3	0.136363636363636
Psme4	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	3	0.136363636363636
C2cd6	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	3	0.136363636363636
Epp13	0	0.2	0	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	3	0.136363636363636
Gm10823	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0.136363636363636
