genename	1600322-1-LK524-KO--C76-1_S16	1600322-2-LK524-KO--C14-1_S9	1600322-3-LK524-KO--C34-1_S15	1600322-4-LK524-KO--C16-1_S13	1600322-6-LK524-KO--C89-1_S11	1600322-7-LK524-KO--C25-1_S5	LK1349_KO__C22_1_S5	LK1349_KO__C23_1_S4	LK1349_KO__C45_1_S9	LK1349_KO__C46_1_S11	LK1349_KO__C48_1_S12	LK1349_KO__C49_1_S15	LK1349_KO__C61_1_S1	LK1349_KO__C64_1_S3	LK1349_KO__C86_1_S8	LK1349_KO__C93_1_S10	LK524-KO-C01-1_S3	LK524-KO-C07-1_S14	LK524-KO-C13-1_S9	LK524-KO-C33-1_S1	LK524-KO-C67-1_S6	LK1349_KO__C34_1_S7	mutatedSamples	mutatedSamplesFrc
Polr2b	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0909090909090909
Tex26	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0909090909090909
Tnpo1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	2	0.0909090909090909
Lamb3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0909090909090909
Iftap	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0.0909090909090909
Cpne9	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0.0909090909090909
Dmd	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Mark3	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Nlgn3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Hnrnpul1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Pip5k1b	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Atad2	0	0	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Ecel1	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Sik1	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Tmod2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Aspm	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Clasp2	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Col8a1	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Dnah9	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Il13ra2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Pnldc1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Abca16	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Camkmt	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Hunk	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Ms4a19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Nsd3	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Rcan2	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Robo1	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Slc37a1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Tmprss11b	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Dennd5b	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Gpc4	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Dnah6	0	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Extl2	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Frem1	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Pde6c	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Ptprc	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Tmem106c	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Itgam	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
Selenoi	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0454545454545455
