gt	type	ms_length	new_ms_length	count
ko	del	9	7	2
ko	del	9	8	106
ko	del	10	9	198
ko	del	11	9	3
ko	del	11	10	193
ko	del	12	10	5
ko	del	12	11	132
ko	del	13	10	1
ko	del	13	11	16
ko	del	13	12	86
ko	del	14	12	6
ko	del	14	13	46
ko	del	15	12	3
ko	del	15	13	4
ko	del	15	14	23
ko	del	16	15	5
ko	del	17	13	1
ko	del	17	15	2
ko	del	17	16	6
ko	del	18	14	1
ko	del	19	16	1
ko	del	20	13	1
ko	ins	9	10	66
ko	ins	10	11	24
ko	ins	11	12	2
ko	ins	11	13	1
ko	ins	12	13	3
ko	ins	18	19	1
wt	del	9	7	3
wt	del	9	8	6
wt	del	10	7	1
wt	del	10	8	1
wt	del	10	9	17
wt	del	11	9	1
wt	del	11	10	8
wt	del	12	11	10
wt	del	13	12	9
wt	del	14	13	4
wt	del	15	14	8
wt	del	16	13	1
wt	del	16	15	2
wt	ins	9	10	35
wt	ins	10	11	20
