genename	rnapol2
Kdm3a	yes
Cped1	yes
Larp1b	yes
Huwe1	yes
Aspm	no
Cop1	no
Psme4	yes
C2cd6	no
Epp13	no
Gm10823	no
Ubr3	yes
Prkd1	no
Dclk1	no
Frmd3	no
Hnrnph3	yes
Usp48	yes
Fn1	yes
Glipr1l2	no
Rad51b	no
Nbeal1	yes
Cmip	yes
Fnip1	yes
Ryr3	no
Sorl1	no
Lgr5	no
Ttn	no
Gfm2	yes
Abhd5	yes
Atp11b	yes
Atp8a1	yes
Chac2	yes
Gadd45g	yes
Neb	no
Otoa	no
Phka1	no
Pigx	yes
Adgrv1	no
Glrx2	yes
Hydin	no
Klrh1	no
Mcf2	no
Nebl	no
Setx	no
Trip11	yes
Zbtb33	yes
Zranb2	yes
Arfgap3	yes
Crybg1	yes
Gm11110	yes
Hectd1	yes
