genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Adam23	0.31	TTR or breakage	4	[]
Carf	0.23	TTR or breakage	3	[]
Zfp451	0.31	TTR or breakage	1	[('IZ', 1)]
Stat1	0.4	TTR or breakage	3	[]
Trip12	0.62	IZ	3	[]
Uggt1	0.23	other	3	[]
Catspere2	0.37	termination	3	[('TTR or breakage', 2)]
Kcnt2	0.78	other	4	[('CTR', 4), ('IZ', 1)]
Pgap1	0.44	TTR or breakage	3	[]
Cop1	0.58	TTR or breakage	3	[]
Glrx2	0.48	noisy	1	[]
Adcy10	0.25	TTR or breakage	3	[]
Klf7	0.33	termination	3	[]
Col19a1	0.66	other	5	[('TTR or breakage', 2)]
Hmcn1	0.43	noisy	8	[('other', 1)]
Sf3b1	0.28	IZ	2	[]
Sag	0.26	TTR or breakage	1	[]
Ercc5	0.53	TTR or breakage	2	[]
C2cd6	0.3	TTR or breakage	3	[]
Pam	0.61	noisy	7	[]
Ubxn4	0.24	TTR or breakage	2	[]
C4bp-ps1	0.52	TTR or breakage	1	[]
Copa	0.19	TTR or breakage	2	[]
Ankrd44	0.37	TTR or breakage	7	[]
Epha4	0.33	other	3	[('IZ', 1)]
Rasal2	0.23	other	5	[('TTR or breakage', 1), ('IZ', 1)]
Myl1	0.53	TTR or breakage	1	[]
Cenpl	0.4	other	1	[]
Aspm	0.68	TTR or breakage	1	[]
Smyd2	0.23	TTR or breakage	2	[]
Col6a3	0.29	termination	2	[]
Epb41l5	0.31	TTR or breakage	3	[]
Aox1	0.43	other	3	[]
Fn1	0.55	TTR or breakage	3	[]
Serpine2	0.44	TTR or breakage	3	[]
Xpr1	0.23	other	4	[]
Trmt1l	0.35	termination	1	[('other', 1)]
Dhx9	0.18	TTR or breakage	1	[]
Nbeal1	0.25	TTR or breakage	4	[]
Col4a4	0.55	TTR or breakage	4	[]
2310030A07Rik	0.62	noisy	1	[]
Npas2	0.39	TTR or breakage	3	[('termination', 2)]
Dnaaf6	0.78	other	1	[]
Pkhd1	0.56	noisy	4	[('TTR or breakage', 4), ('other', 2), ('termination', 2)]
Usp21	0.16	TTR or breakage	1	[]
Shisa4	0.19	CTR	1	[]
Rab3gap1	0.24	IZ	1	[('TTR or breakage', 1)]
Pign	0.63	other	2	[('TTR or breakage', 2)]
Abca12	0.65	TTR or breakage	3	[('IZ', 1), ('other', 1)]
Neu4	0.5	TTR or breakage	1	[]
Cfap221	0.29	IZ	1	[('TTR or breakage', 1)]
Rims1	0.79	other	5	[('CTR', 4), ('termination', 3)]
Tpp2	0.47	IZ	2	[('TTR or breakage', 1)]
Il19	0.33	TTR or breakage	1	[]
Rnf25	0.18	other	2	[]
Abca2	0.16	TTR or breakage	1	[]
Cdk5rap1	0.21	TTR or breakage	2	[]
Crls1	0.44	TTR or breakage	2	[]
Cubn	0.23	IZ	3	[('TTR or breakage', 2)]
Cops2	0.38	TTR or breakage	2	[]
Gca	0.77	other	1	[]
Fnbp4	0.21	TTR or breakage	2	[]
Tmem87b	0.26	CTR	2	[]
Ccdc141	0.52	other	3	[('TTR or breakage', 1)]
Serinc3	0.25	CTR	1	[]
Fastkd1	0.17	IZ	2	[]
Fer1l4	0.15	CTR	2	[]
Entpd6	0.48	IZ	2	[]
Slc12a6	0.44	TTR or breakage	3	[('IZ', 1)]
Dnajc1	0.35	TTR or breakage	5	[]
Pfdn4	0.27	TTR or breakage	2	[]
Pkp4	0.29	TTR or breakage	4	[('other', 1)]
Ubr3	0.21	TTR or breakage	4	[]
Ppp6c	0.34	TTR or breakage	2	[]
Atrn	0.23	other	2	[('TTR or breakage', 1)]
Pdia3	0.17	IZ	1	[]
Usp6nl	0.26	TTR or breakage	3	[]
Armc3	0.44	other	2	[('IZ', 2)]
Fnbp1	0.16	TTR or breakage	3	[]
Lrp1b	0.78	other	21	[('IZ', 7), ('CTR', 7), ('TTR or breakage', 6), ('termination', 2)]
Stard9	0.24	TTR or breakage	3	[]
Gtdc1	0.48	other	4	[('TTR or breakage', 3), ('termination', 1)]
Mbd5	0.53	TTR or breakage	7	[('termination', 2)]
Itih5	0.38	TTR or breakage	3	[]
Nebl	0.31	TTR or breakage	9	[]
Ttc21b	0.38	TTR or breakage	3	[]
Mindy3	0.67	CTR	2	[('other', 1)]
Il1b	0.32	TTR or breakage	1	[]
Tmc2	0.24	TTR or breakage	3	[]
Ryr3	0.64	TTR or breakage	11	[('other', 2)]
Setx	0.19	other	2	[]
Knl1	0.2	CTR	2	[('other', 1)]
Eppin	0.23	TTR or breakage	1	[]
Malrd1	0.72	CTR	9	[('other', 3), ('TTR or breakage', 3), ('IZ', 1)]
Gpcpd1	0.36	TTR or breakage	2	[]
Aplnr	0.34	TTR or breakage	1	[]
Gnas	0.3	IZ	2	[]
Xrn2	0.38	other	2	[]
Myt1	0.27	TTR or breakage	2	[]
Macrod2	0.57	other	15	[('TTR or breakage', 11), ('CTR', 10), ('termination', 3), ('IZ', 2)]
Stam2	0.28	TTR or breakage	1	[('IZ', 1)]
Gabpb1	0.27	TTR or breakage	2	[]
Trpm7	0.24	other	3	[]
Mettl5	0.19	TTR or breakage	1	[]
Ralgapa2	0.3	other	7	[]
Dclre1c	0.43	TTR or breakage	2	[]
Apbb1ip	0.64	TTR or breakage	3	[]
Inpp5e	0.15	TTR or breakage	2	[]
G6pc2	0.28	TTR or breakage	1	[]
Mrc1	0.41	IZ	2	[('TTR or breakage', 1)]
Neb	0.38	CTR	5	[('TTR or breakage', 1)]
Lgr4	0.48	noisy	3	[]
Mastl	0.59	TTR or breakage	2	[]
Ckap5	0.15	CTR	3	[]
Ralgapb	0.2	TTR or breakage	2	[]
Ttn	0.46	TTR or breakage	6	[]
Supt20	0.44	TTR or breakage	2	[]
Atp11b	0.47	TTR or breakage	3	[]
Nup210l	0.15	CTR	2	[('other', 1)]
Lrriq3	0.74	other	2	[('TTR or breakage', 1)]
Csde1	0.32	TTR or breakage	2	[]
Pde7a	0.61	TTR or breakage	2	[('IZ', 1)]
Slc33a1	0.47	noisy	2	[]
Fnip2	0.23	TTR or breakage	3	[]
Wls	0.32	IZ	3	[]
Arhgef26	0.74	other	4	[]
Sec24d	0.43	TTR or breakage	3	[]
Ect2	0.44	TTR or breakage	3	[]
Lrrc40	0.67	TTR or breakage	2	[]
Egf	0.47	other	3	[]
Trim33	0.26	TTR or breakage	2	[('IZ', 1)]
Cth	0.62	IZ	1	[('TTR or breakage', 1)]
Arhgap29	0.22	CTR	1	[('other', 1)]
Abca4	0.2	other	4	[]
Larp1b	0.35	TTR or breakage	3	[]
Gclm	0.18	other	1	[('TTR or breakage', 1)]
Shox2	0.54	TTR or breakage	1	[]
Adgrl2	0.5	other	4	[]
Mrpl47	0.31	TTR or breakage	1	[]
4932438A13Rik	0.58	TTR or breakage	3	[('termination', 2)]
Ccnl1	0.31	other	1	[('TTR or breakage', 1)]
Nras	0.31	TTR or breakage	1	[]
Aimp1	0.52	TTR or breakage	1	[]
Dclk1	0.25	other	7	[]
Zranb2	0.59	other	1	[]
Snx16	0.59	TTR or breakage	1	[]
Chil5	0.49	TTR or breakage	1	[]
Ppp3ca	0.63	TTR or breakage	3	[('other', 2), ('termination', 1)]
Mfsd1	0.55	other	2	[]
Med12l	0.44	TTR or breakage	7	[]
Prpf38b	0.26	TTR or breakage	1	[]
Dennd2d	0.77	TTR or breakage	1	[('other', 1)]
Rap2b	0.71	IZ	1	[]
Nbea	0.42	TTR or breakage	10	[('other', 1), ('IZ', 1)]
Egfem1	0.53	noisy	13	[]
Acad9	0.52	TTR or breakage	1	[]
Rrnad1	0.16	TTR or breakage	1	[]
Lrriq4	0.32	IZ	1	[('TTR or breakage', 1)]
Mlf1	0.57	TTR or breakage	2	[]
Col25a1	0.54	TTR or breakage	8	[('termination', 2)]
Phactr4	0.13	CTR	2	[]
Mllt3	0.27	other	4	[('IZ', 2)]
Atp6v0b	0.2	CTR	1	[]
Uts2	0.19	TTR or breakage	2	[]
Casp8ap2	0.25	CTR	2	[]
Usp48	0.13	other	2	[('IZ', 1)]
Nsmaf	0.65	IZ	3	[]
Rraga	0.4	TTR or breakage	1	[]
Ift74	0.57	TTR or breakage	2	[]
Hp1bp3	0.18	other	1	[]
Fhl5	0.69	other	2	[]
Orc3	0.38	TTR or breakage	2	[]
Yipf1	0.16	other	2	[]
Dnajc11	0.17	TTR or breakage	2	[]
Pgm1	0.26	other	1	[('IZ', 1)]
B4galt1	0.2	TTR or breakage	2	[]
Csf3r	0.18	TTR or breakage	1	[]
Caap1	0.64	TTR or breakage	2	[]
Slc46a2	0.33	TTR or breakage	1	[]
Dnai4	0.33	TTR or breakage	2	[('IZ', 1)]
Fbxo42	0.13	other	3	[]
Hacd4	0.34	TTR or breakage	1	[('other', 1)]
Eya3	0.15	other	3	[]
Elavl4	0.51	TTR or breakage	4	[]
Slc35a1	0.33	TTR or breakage	1	[]
Cdk11b	0.16	IZ	1	[]
Inip	0.27	CTR	1	[('TTR or breakage', 1)]
Necab1	0.64	TTR or breakage	4	[]
Unc13b	0.21	other	5	[]
Kif1b	0.14	CTR	2	[('other', 2)]
Chd7	0.23	other	3	[('TTR or breakage', 1), ('IZ', 1)]
Ptgr1	0.32	CTR	1	[]
Epb41l4b	0.23	TTR or breakage	2	[('IZ', 2)]
Frmd3	0.81	other	5	[]
Lyn	0.68	TTR or breakage	4	[]
Trrap	0.26	TTR or breakage	3	[]
Poln	0.19	TTR or breakage	4	[]
Flt3	0.37	other	2	[('CTR', 1)]
Clrn2	0.48	TTR or breakage	1	[]
Tmem33	0.25	TTR or breakage	1	[]
Sbno1	0.14	other	2	[]
Vps33a	0.16	other	2	[]
Pds5b	0.34	CTR	3	[('TTR or breakage', 1)]
1700028K03Rik	0.29	termination	2	[]
Pds5a	0.17	CTR	2	[]
Kmt2e	0.3	TTR or breakage	3	[]
Nrbp1	0.22	TTR or breakage	2	[]
Hfm1	0.24	other	3	[]
