genes	s50_mNPC	s50_mESC
Adam23	0.31	0.25
Carf	0.23	0.15
Zfp451	0.31	0.15
Stat1	0.4	0.3
Trip12	0.62	0.14
Uggt1	0.23	0.14
Catspere2	0.37	0.37
Kcnt2	0.78	0.42
Pgap1	0.44	0.3
Cop1	0.58	0.48
Glrx2	0.48	0.21
Adcy10	0.25	0.21
Klf7	0.33	0.52
Col19a1	0.66	0.75
Hmcn1	0.43	0.53
Sf3b1	0.28	0.15
Sag	0.26	0.15
Ercc5	0.53	0.3
C2cd6	0.3	0.34
Pam	0.61	0.64
Ubxn4	0.24	0.16
C4bp-ps1	0.52	0.43
Copa	0.19	0.13
Ankrd44	0.37	0.31
Epha4	0.33	0.35
Rasal2	0.23	0.21
Myl1	0.53	0.28
Cenpl	0.4	0.13
Aspm	0.68	0.35
Smyd2	0.23	0.3
Col6a3	0.29	0.4
Epb41l5	0.31	0.15
Aox1	0.43	0.27
Fn1	0.55	0.19
Serpine2	0.44	0.35
Xpr1	0.23	0.38
Trmt1l	0.35	0.17
Dhx9	0.18	0.15
Nbeal1	0.25	0.16
Col4a4	0.55	0.58
2310030A07Rik	0.62	0.46
Npas2	0.39	0.27
Dnaaf6	0.78	0.58
Pkhd1	0.56	0.73
Usp21	0.16	0.13
Shisa4	0.19	0.12
Rab3gap1	0.24	0.16
Pign	0.63	0.4
Abca12	0.65	0.4
Neu4	0.5	0.36
Cfap221	0.29	0.25
Rims1	0.79	0.68
Tpp2	0.47	0.27
Il19	0.33	0.33
Rnf25	0.18	0.15
Abca2	0.16	0.16
Cdk5rap1	0.21	0.13
Crls1	0.44	0.26
Cubn	0.23	0.56
Cops2	0.38	0.31
Gca	0.77	0.64
Fnbp4	0.21	0.16
Tmem87b	0.26	0.2
Ccdc141	0.52	0.22
Serinc3	0.25	0.21
Fastkd1	0.17	0.18
Fer1l4	0.15	0.11
Entpd6	0.48	0.16
Slc12a6	0.44	0.18
Dnajc1	0.35	0.23
Pfdn4	0.27	0.28
Pkp4	0.29	0.23
Ubr3	0.21	0.17
Ppp6c	0.34	0.21
Atrn	0.23	0.19
Pdia3	0.17	0.11
Usp6nl	0.26	0.31
Armc3	0.44	0.44
Fnbp1	0.16	0.11
Lrp1b	0.78	0.87
Stard9	0.24	0.11
Gtdc1	0.48	0.49
Mbd5	0.53	0.39
Itih5	0.38	0.28
Nebl	0.31	0.53
Ttc21b	0.38	0.63
Mindy3	0.67	0.47
Il1b	0.32	0.24
Tmc2	0.24	0.27
Ryr3	0.64	0.54
Setx	0.19	0.11
Knl1	0.2	0.13
Eppin	0.23	0.18
Malrd1	0.72	0.67
Gpcpd1	0.36	0.27
Aplnr	0.34	0.38
Gnas	0.3	0.3
Xrn2	0.38	0.22
Myt1	0.27	0.23
Macrod2	0.57	0.78
Stam2	0.28	0.28
Gabpb1	0.27	0.19
Trpm7	0.24	0.17
Mettl5	0.19	0.15
Ralgapa2	0.3	0.34
Dclre1c	0.43	0.26
Apbb1ip	0.64	0.28
Inpp5e	0.15	0.14
G6pc2	0.28	0.47
Mrc1	0.41	0.53
Neb	0.38	0.28
Lgr4	0.48	0.27
Mastl	0.59	0.22
Ckap5	0.15	0.11
Ralgapb	0.2	0.18
Ttn	0.46	0.31
Supt20	0.44	0.32
Atp11b	0.47	0.2
Nup210l	0.15	0.12
Lrriq3	0.74	0.86
Csde1	0.32	0.14
Pde7a	0.61	0.33
Slc33a1	0.47	0.35
Fnip2	0.23	0.21
Wls	0.32	0.28
Arhgef26	0.74	0.66
Sec24d	0.43	0.38
Ect2	0.44	0.2
Lrrc40	0.67	0.19
Egf	0.47	0.25
Trim33	0.26	0.17
Cth	0.62	0.15
Arhgap29	0.22	0.32
Abca4	0.2	0.3
Larp1b	0.35	0.31
Gclm	0.18	0.21
Shox2	0.54	0.46
Adgrl2	0.5	0.73
Mrpl47	0.31	0.19
4932438A13Rik	0.58	0.49
Ccnl1	0.31	0.39
Nras	0.31	0.13
Aimp1	0.52	0.47
Dclk1	0.25	0.61
Zranb2	0.59	0.5
Snx16	0.59	0.17
Chil5	0.49	0.4
Ppp3ca	0.63	0.63
Mfsd1	0.55	0.35
Med12l	0.44	0.59
Prpf38b	0.26	0.26
Dennd2d	0.77	0.6
Rap2b	0.71	0.8
Nbea	0.42	0.82
Egfem1	0.53	0.8
Acad9	0.52	0.29
Rrnad1	0.16	0.12
Lrriq4	0.32	0.18
Mlf1	0.57	0.33
Col25a1	0.54	0.62
Phactr4	0.13	0.1
Mllt3	0.27	0.42
Atp6v0b	0.2	0.15
Uts2	0.19	0.21
Casp8ap2	0.25	0.24
Usp48	0.13	0.1
Nsmaf	0.65	0.45
Rraga	0.4	0.23
Ift74	0.57	0.2
Hp1bp3	0.18	0.23
Fhl5	0.69	0.61
Orc3	0.38	0.23
Yipf1	0.16	0.18
Dnajc11	0.17	0.12
Pgm1	0.26	0.27
B4galt1	0.2	0.14
Csf3r	0.18	0.13
Caap1	0.64	0.19
Slc46a2	0.33	0.23
Dnai4	0.33	0.3
Fbxo42	0.13	0.09
Hacd4	0.34	0.49
Eya3	0.15	0.11
Elavl4	0.51	0.54
Slc35a1	0.33	0.18
Cdk11b	0.16	0.1
Inip	0.27	0.17
Necab1	0.64	0.37
Unc13b	0.21	0.21
Kif1b	0.14	0.11
Chd7	0.23	0.39
Ptgr1	0.32	0.17
Epb41l4b	0.23	0.12
Frmd3	0.81	0.39
Lyn	0.68	0.22
Trrap	0.26	0.15
Poln	0.19	0.23
Flt3	0.37	0.23
Clrn2	0.48	0.31
Tmem33	0.25	0.21
Sbno1	0.14	0.1
Vps33a	0.16	0.14
Pds5b	0.34	0.19
1700028K03Rik	0.29	0.28
Pds5a	0.17	0.13
Kmt2e	0.3	0.16
Nrbp1	0.22	0.15
Hfm1	0.24	0.41
Cplx1	0.31	0.16
Evi5	0.27	0.16
Fry	0.42	0.22
Odam	0.81	0.75
Dbf4	0.65	0.25
Yes1	0.22	0.14
Crot	0.54	0.28
Ccng2	0.3	0.31
Srp72	0.26	0.22
Rundc3b	0.61	0.27
Plb1	0.23	0.26
Gtf3a	0.34	0.17
Mrpl1	0.34	0.39
Zp3	0.16	0.1
Baiap2l1	0.29	0.19
Prom1	0.39	0.31
Kmt2c	0.37	0.17
Atp8a1	0.45	0.4
Lias	0.17	0.12
Ift172	0.23	0.16
Psmc2	0.31	0.2
Dnajc2	0.3	0.19
Auts2	0.46	0.59
Nsun7	0.25	0.23
Zcwpw1	0.21	0.2
Rell1	0.36	0.23
Cc2d2a	0.51	0.26
Adam22	0.69	0.35
Gc	0.53	0.78
Steap1	0.52	0.5
Slc5a1	0.21	0.19
Ptpn12	0.37	0.18
Sdad1	0.26	0.2
Mrps18c	0.35	0.24
Clock	0.26	0.23
Limch1	0.25	0.41
Pttg1ip2	0.4	0.53
Baz1b	0.18	0.12
Grk4	0.21	0.21
Add1	0.19	0.14
Vwf	0.27	0.16
Cadps2	0.61	0.76
Mat2a	0.17	0.16
Ipo8	0.28	0.18
Eif2ak3	0.36	0.28
Grm8	0.76	0.83
Arhgap25	0.23	0.32
Smarcad1	0.48	0.14
Cd69	0.77	0.74
Tbxas1	0.21	0.26
Wasl	0.7	0.49
Clec2e	0.74	0.63
Vps50	0.71	0.42
Klrh1	0.87	0.9
Dnah6	0.3	0.25
Cped1	0.58	0.52
Gm6614	0.65	0.83
Dync1i1	0.56	0.44
Akr1b10	0.26	0.3
Dennd5b	0.26	0.14
Tmem40	0.18	0.1
Cpa4	0.14	0.21
Aplf	0.21	0.24
Kdm3a	0.3	0.24
Ptprz1	0.55	0.62
Casd1	0.26	0.42
Tcaf3	0.66	0.74
Podxl	0.27	0.25
Braf	0.2	0.18
C87436	0.18	0.12
Adamts9	0.28	0.35
Amn1	0.3	0.17
Rimklb	0.52	0.19
M1ap	0.21	0.14
Gucy2c	0.4	0.3
Olfr654	0.84	0.67
Hdgfl3	0.29	0.22
Btbd16	0.2	0.19
Trim6	0.83	0.36
Swap70	0.18	0.13
Epp13	0.44	0.14
Zfp939	0.71	0.34
Zfp74	0.21	0.1
Mosmo	0.34	0.23
Pex11a	0.2	0.15
Plekha1	0.22	0.22
Pcf11	0.31	0.22
Mettl9	0.3	0.24
Insyn2a	0.59	0.63
Eif3k	0.17	0.12
Mcmbp	0.24	0.22
Far1os	0.31	0.28
Pdzd9	0.36	0.25
Mir290b	0.54	0.11
Ttc23	0.28	0.29
Dock1	0.51	0.59
Dennd5a	0.16	0.13
Samd4b	0.19	0.11
Otoa	0.34	0.32
Fam169b	0.32	0.21
Ces1e	0.53	0.58
Adam3	0.36	0.41
Nae1	0.32	0.27
Pcm1	0.41	0.17
Myo16	0.31	0.79
Ist1	0.26	0.2
Cmip	0.28	0.16
Kcnn1	0.14	0.11
Cep44	0.75	0.55
Hydin	0.3	0.23
Lrrc36	0.14	0.15
Itgb1	0.41	0.58
Kars	0.24	0.15
A330008L17Rik	0.81	0.9
Wwc2	0.24	0.17
Afg3l1	0.17	0.15
Ankrd10	0.18	0.14
Cngb1	0.21	0.25
Itfg1	0.38	0.25
Crispld2	0.13	0.22
Ddx60	0.45	0.54
Cmtm1	0.33	0.3
Pard3	0.39	0.32
Ddx19b	0.16	0.11
Tusc3	0.82	0.68
Pkd1l2	0.3	0.17
Bco1	0.27	0.17
Sap30	0.31	0.23
Herpud2	0.5	0.43
Adam10	0.27	0.18
Dmxl2	0.34	0.33
Abhd5	0.27	0.43
Neo1	0.25	0.2
Idh3a	0.26	0.26
Onecut1	0.25	0.31
Bnip2	0.25	0.16
Trpc1	0.37	0.21
9530059O14Rik	0.3	0.42
Col5a3	0.19	0.15
Atr	0.32	0.19
Sorl1	0.24	0.23
Sacm1l	0.34	0.31
Herc1	0.22	0.26
Plscr1	0.65	0.68
Mapk6	0.19	0.12
Chordc1	0.78	0.58
Map2k5	0.19	0.25
Fbxl2	0.36	0.18
Tpbg	0.42	0.46
Fam81a	0.24	0.11
Thyn1	0.32	0.29
Map2k1	0.15	0.11
Kif15	0.29	0.22
Bbs9	0.33	0.26
Scaper	0.29	0.26
Mmp3	0.62	0.52
U2surp	0.4	0.18
Gm10646	0.2	0.19
Pcolce2	0.37	0.19
Tln2	0.28	0.23
Mmp27	0.54	0.44
Plod2	0.71	0.76
Gk5	0.26	0.13
Unc13c	0.57	0.76
Arhgap18	0.58	0.52
Syne1	0.63	0.51
Mcu	0.22	0.21
Epb41l2	0.48	0.25
Glipr1l2	0.4	0.65
Lama2	0.66	0.67
Metap2	0.23	0.24
Aifm2	0.22	0.13
Shprh	0.55	0.15
Dusp6	0.32	0.51
Polr3b	0.17	0.19
1700017N19Rik	0.75	0.78
Stxbp5	0.38	0.7
Rev3l	0.26	0.21
Cpsf6	0.2	0.19
Adgrg6	0.6	0.22
Nkain2	0.79	0.76
Lgr5	0.4	0.36
Pcdh15	0.81	0.87
Zdhhc17	0.32	0.34
Enpp1	0.41	0.47
Fig4	0.39	0.26
Hnrnph3	0.19	0.11
Hmga2	0.22	0.23
Utp20	0.58	0.2
D930020B18Rik	0.21	0.18
Ybey	0.25	0.16
Abca7	0.1	0.09
Erbb3	0.13	0.11
Crybg1	0.44	0.41
Cep290	0.73	0.77
Tube1	0.29	0.27
Prdm1	0.51	0.2
Slc5a8	0.6	0.31
Igf1	0.53	0.57
Scyl2	0.35	0.3
Ppil6	0.31	0.16
Zfc3h1	0.39	0.24
Pcnt	0.26	0.17
Map3k5	0.35	0.26
2610507B11Rik	0.14	0.09
Heatr6	0.25	0.27
Narf	0.2	0.16
Tns3	0.38	0.18
Gria1	0.36	0.76
Sfi1	0.5	0.43
Arl4d	0.15	0.11
Col23a1	0.23	0.23
Krt10	0.27	0.34
Chac2	0.53	0.22
Myh3	0.35	0.2
Cops3	0.19	0.15
Prpf8	0.14	0.12
Utp18	0.23	0.19
Dock2	0.41	0.6
Tbcd	0.27	0.25
