genename	rnapol2
Polr2b	yes
Tex26	no
Tnpo1	yes
Lamb3	yes
Iftap	no
Cpne9	no
Dmd	no
Mark3	yes
Nlgn3	no
Hnrnpul1	yes
Pip5k1b	yes
Atad2	yes
Ecel1	no
Sik1	no
Tmod2	no
Aspm	no
Clasp2	yes
Col8a1	no
Dnah9	no
Il13ra2	no
Pnldc1	no
Abca16	no
Camkmt	yes
Hunk	no
Ms4a19	no
Nsd3	yes
Rcan2	no
Robo1	no
Slc37a1	yes
Tmprss11b	no
Dennd5b	yes
Gpc4	no
Dnah6	no
Extl2	yes
Frem1	no
Pde6c	no
Ptprc	no
Tmem106c	yes
Itgam	no
Selenoi	yes
Stra6	no
Fryl	yes
Mlc1	no
Smarcad1	yes
Acaca	no
App	yes
Kmt5b	yes
Tex14	yes
Xpo1	yes
Arhgap10	no
