genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Aspm	0.35	IZ	1	[]
Ptprc	0.83	TTR or breakage	3	[]
F5	0.24	TTR or breakage	2	[]
Exo1	0.51	IZ	1	[('TTR or breakage', 1)]
Lamb3	0.38	other	3	[]
Ecel1	0.18	TTR or breakage	2	[]
Myo3a	0.64	TTR or breakage	9	[]
Exd1	0.11	other	1	[]
Mylk2	0.16	TTR or breakage	1	[]
Iftap	0.5	TTR or breakage	2	[]
Gtf3c5	0.13	other	1	[]
Extl2	0.42	TTR or breakage	1	[]
Kcnd3	0.46	TTR or breakage	5	[]
Ccna1	0.38	TTR or breakage	2	[]
Mroh7	0.19	TTR or breakage	2	[]
Frem1	0.38	TTR or breakage	3	[('termination', 2)]
Tex26	0.24	other	2	[]
Kmt2e	0.16	TTR or breakage	3	[]
Kntc1	0.13	IZ	2	[('TTR or breakage', 1)]
Polr2b	0.18	TTR or breakage	1	[]
Selenoi	0.3	other	2	[]
Tmprss11b	0.5	TTR or breakage	1	[]
Fryl	0.17	other	4	[('IZ', 2)]
Dennd5b	0.14	IZ	2	[('other', 2)]
Raf1	0.12	TTR or breakage	1	[('IZ', 1)]
Dnah6	0.25	TTR or breakage	3	[('other', 2)]
Svopl	0.2	CTR	2	[]
Cpne9	0.12	TTR or breakage	2	[]
Sgce	0.38	TTR or breakage	2	[]
Smarcad1	0.14	IZ	2	[('TTR or breakage', 1)]
Itgam	0.23	TTR or breakage	2	[]
Abca16	0.44	TTR or breakage	3	[]
Hnrnpul1	0.17	IZ	1	[('TTR or breakage', 1)]
Lig4	0.77	IZ	1	[]
Cntnap4	0.83	TTR or breakage	7	[]
Arhgap10	0.37	TTR or breakage	5	[('IZ', 1)]
Nrp1	0.7	TTR or breakage	4	[]
Gmip	0.12	TTR or breakage	1	[]
Nsd3	0.16	TTR or breakage	3	[]
1300017J02Rik	0.21	CTR	1	[('other', 1)]
Stra6	0.16	other	3	[]
Tmod2	0.2	TTR or breakage	2	[]
Clasp2	0.18	other	3	[('TTR or breakage', 2)]
Herc1	0.26	TTR or breakage	2	[('termination', 2)]
Mmp19	0.12	other	1	[('TTR or breakage', 1)]
Nav3	0.86	CTR	9	[('TTR or breakage', 8)]
Gas2l3	0.45	TTR or breakage	1	[]
Utp20	0.2	TTR or breakage	2	[('IZ', 1)]
Xpo1	0.15	other	1	[]
Gpatch8	0.13	TTR or breakage	3	[]
Rabep1	0.19	TTR or breakage	3	[]
Cpeb4	0.21	IZ	1	[('other', 1)]
Acaca	0.14	other	4	[('IZ', 2), ('TTR or breakage', 1)]
Dnah9	0.63	TTR or breakage	8	[]
Tex14	0.15	IZ	3	[('TTR or breakage', 1)]
Klhdc2	0.15	other	2	[]
Dgkb	0.81	TTR or breakage	10	[('CTR', 4), ('other', 3)]
Ttll5	0.2	TTR or breakage	4	[('termination', 2)]
Mis18bp1	0.24	TTR or breakage	2	[]
Mark3	0.11	IZ	2	[('other', 1)]
Tnpo1	0.13	IZ	3	[]
Esco2	0.26	TTR or breakage	1	[]
Atad2	0.15	IZ	2	[]
Mlc1	0.17	TTR or breakage	1	[]
Tmem106c	0.23	TTR or breakage	1	[]
1700088E04Rik	0.13	IZ	1	[]
App	0.36	TTR or breakage	6	[]
Robo1	0.61	TTR or breakage	12	[('IZ', 3)]
Hunk	0.2	TTR or breakage	3	[]
Col8a1	0.59	TTR or breakage	4	[]
Camkmt	0.31	TTR or breakage	8	[('IZ', 1)]
Rcan2	0.42	TTR or breakage	5	[]
Sik1	0.11	IZ	1	[('TTR or breakage', 1)]
Phf10	0.13	TTR or breakage	1	[('IZ', 1)]
Slc37a1	0.13	other	2	[('TTR or breakage', 1)]
Pnldc1	0.14	TTR or breakage	1	[('IZ', 1)]
Greb1l	0.28	TTR or breakage	4	[('termination', 2)]
Ms4a19	0.45	TTR or breakage	2	[]
Kmt5b	0.11	IZ	2	[]
Pde6c	0.15	other	2	[]
Pnliprp1	0.65	TTR or breakage	1	[]
Pip5k1b	0.21	TTR or breakage	6	[('IZ', 1)]
Unc93b1	0.11	other	1	[]
Pprc1	0.11	IZ	2	[]
