genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Adam23	0.25	TTR or breakage	4	[]
Carf	0.15	CTR	3	[]
Zfp451	0.15	TTR or breakage	2	[]
Stat1	0.3	CTR	3	[]
Trip12	0.14	TTR or breakage	2	[('IZ', 1)]
Uggt1	0.14	TTR or breakage	2	[('other', 1)]
Catspere2	0.37	TTR or breakage	4	[('termination', 1)]
Kcnt2	0.42	TTR or breakage	8	[('IZ', 1)]
Pgap1	0.3	IZ	2	[('TTR or breakage', 1)]
Cop1	0.48	TTR or breakage	2	[('IZ', 1)]
Glrx2	0.21	IZ	1	[]
Adcy10	0.21	TTR or breakage	3	[]
Klf7	0.52	other	2	[('termination', 1)]
Col19a1	0.75	TTR or breakage	7	[]
Hmcn1	0.53	TTR or breakage	7	[('termination', 2)]
Sf3b1	0.15	TTR or breakage	1	[('IZ', 1)]
Sag	0.15	TTR or breakage	1	[]
Ercc5	0.3	TTR or breakage	2	[]
C2cd6	0.34	TTR or breakage	2	[('termination', 1)]
Pam	0.64	TTR or breakage	6	[('IZ', 1)]
Ubxn4	0.16	other	1	[('IZ', 1)]
C4bp-ps1	0.43	TTR or breakage	1	[]
Copa	0.13	TTR or breakage	1	[('IZ', 1)]
Ankrd44	0.31	TTR or breakage	6	[('termination', 1)]
Epha4	0.35	TTR or breakage	3	[('IZ', 1)]
Rasal2	0.21	TTR or breakage	5	[('IZ', 2)]
Myl1	0.28	TTR or breakage	1	[]
Cenpl	0.13	IZ	1	[]
Aspm	0.35	IZ	1	[]
Smyd2	0.3	IZ	1	[('TTR or breakage', 1)]
Col6a3	0.4	termination	2	[]
Epb41l5	0.15	TTR or breakage	2	[('IZ', 1)]
Aox1	0.27	other	2	[('IZ', 1)]
Fn1	0.19	IZ	2	[('TTR or breakage', 1)]
Serpine2	0.35	TTR or breakage	2	[('IZ', 1)]
Xpr1	0.38	TTR or breakage	2	[('other', 2)]
Trmt1l	0.17	IZ	2	[]
Dhx9	0.15	TTR or breakage	1	[]
Nbeal1	0.16	other	3	[('CTR', 1)]
Col4a4	0.58	TTR or breakage	4	[]
2310030A07Rik	0.46	TTR or breakage	1	[]
Npas2	0.27	TTR or breakage	5	[]
Dnaaf6	0.58	TTR or breakage	1	[]
Pkhd1	0.73	TTR or breakage	12	[]
Usp21	0.13	other	1	[]
Shisa4	0.12	other	1	[]
Rab3gap1	0.16	CTR	2	[]
Pign	0.4	TTR or breakage	4	[]
Abca12	0.4	TTR or breakage	4	[('termination', 1)]
Neu4	0.36	TTR or breakage	1	[]
Cfap221	0.25	TTR or breakage	2	[]
Rims1	0.68	TTR or breakage	8	[('IZ', 4)]
Tpp2	0.27	IZ	3	[]
Il19	0.33	TTR or breakage	1	[]
Rnf25	0.15	TTR or breakage	2	[]
Abca2	0.16	TTR or breakage	1	[]
Cdk5rap1	0.13	TTR or breakage	2	[]
Crls1	0.26	IZ	1	[('TTR or breakage', 1)]
Cubn	0.56	TTR or breakage	5	[]
Cops2	0.31	IZ	1	[('TTR or breakage', 1)]
Gca	0.64	TTR or breakage	1	[]
Fnbp4	0.16	TTR or breakage	2	[]
Tmem87b	0.2	other	2	[]
Ccdc141	0.22	TTR or breakage	3	[('IZ', 1)]
