genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Aspm	0.68	TTR or breakage	1	[]
Ptprc	0.56	noisy	2	[('termination', 1)]
F5	0.43	TTR or breakage	2	[]
Exo1	0.59	TTR or breakage	1	[('IZ', 1)]
Lamb3	0.31	other	3	[]
Ecel1	0.24	TTR or breakage	1	[('IZ', 1)]
Myo3a	0.74	TTR or breakage	4	[('other', 3), ('termination', 2)]
Exd1	0.19	other	1	[]
Mylk2	0.18	TTR or breakage	1	[]
Iftap	0.3	TTR or breakage	2	[]
Gtf3c5	0.18	TTR or breakage	1	[]
Extl2	0.36	TTR or breakage	1	[]
Kcnd3	0.38	other	5	[]
Ccna1	0.3	TTR or breakage	2	[]
Mroh7	0.16	TTR or breakage	2	[]
Frem1	0.38	other	4	[('TTR or breakage', 1)]
Tex26	0.22	IZ	2	[]
Kmt2e	0.3	TTR or breakage	3	[]
Kntc1	0.15	TTR or breakage	3	[]
Polr2b	0.26	TTR or breakage	1	[]
Selenoi	0.27	TTR or breakage	1	[('other', 1)]
Tmprss11b	0.78	IZ	1	[]
Fryl	0.22	other	5	[('IZ', 1)]
Dennd5b	0.26	IZ	2	[('TTR or breakage', 2)]
Raf1	0.2	TTR or breakage	2	[]
Dnah6	0.3	TTR or breakage	5	[]
Svopl	0.31	TTR or breakage	2	[]
Cpne9	0.18	other	1	[('CTR', 1)]
Sgce	0.25	IZ	2	[]
Smarcad1	0.48	noisy	3	[]
Itgam	0.22	TTR or breakage	2	[]
Abca16	0.52	TTR or breakage	3	[]
Hnrnpul1	0.25	TTR or breakage	2	[]
Lig4	0.49	TTR or breakage	1	[]
Cntnap4	0.71	TTR or breakage	5	[('other', 2)]
Arhgap10	0.48	TTR or breakage	6	[]
Nrp1	0.35	IZ	4	[]
Gmip	0.2	TTR or breakage	1	[]
Nsd3	0.26	other	2	[('CTR', 1)]
1300017J02Rik	0.21	other	2	[]
Stra6	0.15	IZ	3	[]
Tmod2	0.26	TTR or breakage	2	[]
Clasp2	0.36	other	4	[('IZ', 1)]
Herc1	0.22	other	4	[]
Mmp19	0.17	TTR or breakage	2	[]
Nav3	0.69	TTR or breakage	7	[('CTR', 6), ('other', 4)]
Gas2l3	0.35	TTR or breakage	1	[]
Utp20	0.58	TTR or breakage	3	[]
Xpo1	0.27	other	1	[]
Gpatch8	0.15	CTR	1	[('other', 1), ('IZ', 1)]
Rabep1	0.24	TTR or breakage	3	[]
Cpeb4	0.24	TTR or breakage	2	[]
Acaca	0.19	IZ	3	[('CTR', 3), ('other', 1)]
Dnah9	0.54	TTR or breakage	7	[('IZ', 1)]
Tex14	0.17	IZ	3	[('other', 1)]
Klhdc2	0.21	TTR or breakage	2	[]
Dgkb	0.8	other	11	[('CTR', 6)]
Ttll5	0.23	CTR	5	[('other', 1)]
Mis18bp1	0.67	TTR or breakage	1	[('IZ', 1)]
Mark3	0.14	TTR or breakage	2	[('other', 1)]
Tnpo1	0.23	CTR	2	[('other', 1)]
Esco2	0.29	TTR or breakage	1	[]
Atad2	0.19	TTR or breakage	2	[]
Mlc1	0.19	CTR	1	[]
Tmem106c	0.18	CTR	1	[]
1700088E04Rik	0.13	other	1	[]
App	0.56	TTR or breakage	5	[('other', 1)]
Robo1	0.56	noisy	13	[('TTR or breakage', 1), ('other', 1)]
Hunk	0.21	other	3	[]
Col8a1	0.56	CTR	3	[('other', 1)]
Camkmt	0.28	TTR or breakage	3	[('termination', 3), ('other', 3)]
Rcan2	0.48	TTR or breakage	3	[('termination', 2)]
Sik1	0.17	CTR	2	[]
Phf10	0.19	TTR or breakage	1	[('IZ', 1)]
Slc37a1	0.21	TTR or breakage	3	[]
Pnldc1	0.25	IZ	2	[]
Greb1l	0.23	CTR	4	[('other', 1), ('IZ', 1)]
Ms4a19	0.33	TTR or breakage	2	[]
Kmt5b	0.16	TTR or breakage	2	[]
Pde6c	0.25	CTR	1	[('other', 1)]
Pnliprp1	0.33	other	1	[]
Pip5k1b	0.24	TTR or breakage	4	[('other', 3)]
Unc93b1	0.15	other	1	[]
Pprc1	0.15	CTR	2	[]
