chr	start	end	genename	width
chrX	82948870	85206141	Dmd	2257272
chr2	40595246	42653624	Lrp1b	2058379
chr2	140395309	142392966	Macrod2	1997658
chr10	73099342	74649737	Pcdh15	1550396
chr13	108449948	109953461	Pde4d	1503514
chr10	31689310	32890461	Nkain2	1201152
chr5	131437333	132543344	Auts2	1106012
chrX	42527866	43429126	Tenm1	901261
chr6	27275119	28135178	Grm8	860060
chr12	53248677	54072175	Npas3	823499
chr14	28904943	29721864	Cacna2d3	816922
chr16	42875881	43642602	Zbtb20	766722
chr16	72308306	73046095	Robo1	737790
chr2	15526479	16255555	Malrd1	729077
chr14	23289431	24014491	Kcnma1	725061
chr10	26980036	27619758	Lama2	639723
chr3	29082023	29691209	Egfem1	609187
chr2	112631355	113217096	Ryr3	585742
chr6	23262773	23839421	Cadps2	576649
chr1	20057779	20618064	Pkhd1	560286
chr15	35371160	35931229	Vps13b	560070
chr3	55625195	56183701	Nbea	558507
chr11	34226815	34783892	Dock2	557078
chr8	127063893	127612286	Pard3	548394
chr13	81095068	81633154	Adgrv1	538087
chr10	5020917	5551482	Syne1	530566
chr1	22286251	22805994	Rims1	519744
chr12	79297282	79814690	Rad51b	517409
chr7	134670654	135173639	Dock1	502986
chr11	9191942	9684259	Abca13	492318
chr9	73479422	73968966	Unc13c	489545
chr8	10153911	10634742	Myo16	480832
chr3	130131501	130599877	Col25a1	468377
chr16	77236317	77691403	Mir99ahg	455087
chr17	50733124	51179352	Tbc1d5	446229
chr1	150562524	150993435	Hmcn1	430912
chr19	28258851	28680077	Glis3	421227
chr9	22475715	22888280	Bbs9	412566
chr16	87895900	88290265	Grik1	394366
chr9	55549879	55938119	Scaper	388241
chr2	17343909	17731464	Nebl	387556
chr5	150118645	150497753	Fry	379109
chr2	48949508	49325405	Mbd5	375898
chr1	140246158	140612067	Kcnt2	365910
chr2	44564412	44927657	Gtdc1	363246
chr13	40001882	40361450	Ofcc1	359569
chr14	122534324	122891100	Pcca	356777
chr14	78849052	79202310	Vwa8	353259
chrX	159627272	159978069	Sh3kbp1	350798
chr8	110266977	110610253	Hydin	343277
chr9	67217087	67559703	Tln2	342617
chr12	37241641	37582202	Agmo	340562
chr12	61523150	61857928	Lrfn5	334779
chr14	64122625	64455903	Msra	333279
chrX	93304767	93632155	Pola1	327389
chr1	24261890	24587472	Col19a1	325583
chr11	57011387	57330244	Gria1	318858
chr8	99416642	99733438	A330008L17Rik	316797
chr3	59005825	59318682	Med12l	312858
chr5	66745827	67057158	Limch1	311332
chr19	55316295	55627309	Vti1a	311015
chr12	50341231	50649098	Prkd1	307868
chr6	5725639	6028039	Dync1i1	302401
chr1	97795114	98095646	Pam	300533
chr3	55242364	55539068	Dclk1	296705
chr5	8072352	8368160	Adam22	295809
chr15	27730651	28025848	Trio	295198
chr11	51289920	51583918	Col23a1	293999
chr12	75818134	76110926	Syne2	292793
chr1	54645340	54926387	Ankrd44	281048
chr18	7347959	7626866	Mpp7	278908
chr2	76703980	76982547	Ttn	278568
chr1	157135182	157412595	Rasal2	277414
chr12	44328885	44601964	Nrcam	273080
chr2	146239879	146512344	Ralgapa2	272466
chr6	21985916	22256404	Cped1	270489
chr19	16956118	17223932	Prune2	267815
chr3	136670124	136937727	Ppp3ca	267604
chr4	87769925	88033364	Mllt3	263440
chr18	66045302	66302741	Ccbe1	257440
chr13	91880400	92131656	Rasgrf2	251257
chr2	52136647	52378474	Neb	241828
chr16	50191844	50432390	Bbx	240547
chr11	8431652	8664681	Tns3	233030
chr13	24501525	24733816	Ripor2	232292
chr5	67618140	67847434	Atp8a1	229295
chr5	25271798	25498783	Kmt2c	226986
chr16	57353093	57573126	Filip1l	220034
chr15	73205102	73423280	Ptk2	218179
chr2	13276338	13491813	Cubn	215476
chr9	63163768	63377902	Map2k5	214135
chrX	141475385	141689234	Col4a5	213850
chr6	38875404	39084585	Tbxas1	209182
chr14	14803415	15012059	Nek10	208645
chr10	19934472	20142753	Map3k5	208282
chr4	43058953	43264871	Unc13b	205919
chr16	52248996	52454074	Alcam	205079
chr14	101729957	101934710	Lmo7	204754
chr6	73017606	73221651	Dnah6	204046
chr8	117257064	117459430	Cmip	202367
chr7	28399522	28598144	Samd4b	198623
chr10	43950636	44148853	Crybg1	198218
chr4	14952245	15149794	Necab1	197550
chr2	18195654	18392830	Dnajc1	197177
chr15	94270163	94465418	Adamts20	195256
chr2	59160850	59355208	Pkp4	194359
chr19	55741820	55933654	Tcf7l2	191835
chr11	68209364	68400823	Ntn1	191460
chr3	36863104	37053033	4932438A13Rik	189930
chr19	53677306	53867080	Rbm20	189775
chr1	177983423	178172705	Catspere2	189283
chr4	74013442	74202214	Frmd3	188773
chrX	35888832	36076562	Dock11	187731
chr19	37021291	37208601	Cpeb3	187311
chr11	23306895	23490560	Usp34	183666
chr6	22875502	23052916	Ptprz1	177415
chr4	8690406	8867659	Chd7	177254
chr3	148815583	148990555	Adgrl2	174973
chr19	26605050	26778322	Smarca2	173273
chr1	71242276	71414910	Abca12	172635
chr6	92772699	92943492	Adamts9	170794
chr10	59446984	59616692	Mcu	169709
chr1	39193731	39363236	Npas2	169506
chr8	47823959	47990551	Wwc2	166593
chr10	26753421	26918648	Arhgap18	165228
chr11	121451949	121617164	Tbcd	165216
chr10	25359798	25523519	Epb41l2	163722
chr5	34007179	34169448	Poln	162270
chr9	58874687	59036441	Neo1	161755
chr2	77009902	77170636	Ccdc141	160735
chr13	30813919	30974093	Exoc2	160175
chr9	41964720	42124297	Sorl1	159578
chr8	39005845	39165114	Tusc3	159270
chr9	66350450	66508775	Herc1	158326
chrX	159210307	159368244	Rps6ka3	157938
chr1	60180599	60338328	Nbeal1	157730
chr14	99099424	99254493	Pibf1	155070
chr15	8290617	8444463	Nipbl	153847
chrX	77511013	77662983	Tbl1x	151971
chr4	56991972	57143437	Epb41l4b	151466
chr1	63445891	63596276	Adam23	150386
chr13	18717286	18866811	Vps41	149526
chr4	110203722	110351909	Elavl4	148188
chr1	77367185	77515088	Epha4	147904
chr10	9755547	9901079	Stxbp5	145533
chr1	105518422	105663677	Pign	145256
chr15	13028701	13173675	Cdh6	144975
chr10	39732118	39875211	Rev3l	143094
chr10	14402583	14545659	Adgrg6	143077
chr1	155275701	155417415	Xpr1	141715
chr2	112265825	112406319	Slc12a6	140495
chr6	125546774	125686679	Vwf	139906
chr1	82448423	82586849	Col4a4	138427
chr12	102128733	102267091	Slc24a4	138359
chr10	115450311	115587780	Lgr5	137470
chr5	150673739	150810690	Pds5b	136952
chr9	54365158	54501626	Dmxl2	136469
chr12	110447120	110583062	Ppp2r5c	135943
chr3	122044443	122180123	Abca4	135681
chr4	3678115	3813122	Lyn	135008
chrX	159988433	160123351	Map3k15	134919
chrX	151800883	151935417	Huwe1	134535
chrX	78449613	78583896	Prrg1	134284
chr5	32232708	32366520	Plb1	133813
chr5	8490334	8622952	Rundc3b	132619
chr4	149176319	149307693	Kif1b	131375
chrX	162901238	163032508	Ctps2	131271
chr5	107744795	107875107	Evi5	130313
chrX	102513975	102644246	Phka1	130272
chr12	83794034	83921934	Numb	127901
chr2	69897246	70024013	Ubr3	126768
chrX	41794991	41920674	Thoc2	125684
chr17	14818519	14943158	Wdr27	124640
chr3	62338344	62462221	Arhgef26	123878
chr2	130906495	131030333	Atrn	123839
chr2	6322667	6446390	Usp6nl	123724
chrX	12036740	12160355	Bcor	123616
chr8	85717578	85840921	Itfg1	123344
chrX	60055956	60179089	Mcf2	123134
chr6	39603237	39725463	Braf	122227
chr11	3131850	3252685	Sfi1	120836
chr1	84721189	84840516	Trip12	119328
chrX	96455359	96574485	Heph	119127
chrX	18162575	18279936	Kdm6a	117362
chr18	43320984	43438286	Dpysl3	117303
chr2	31026206	31142008	Fnbp1	115803
chr7	67647410	67762912	Ttc23	115503
chr1	159232320	159347640	Cop1	115321
chr10	120361275	120476469	Hmga2	115195
chr10	41188172	41303260	Fig4	115089
chr6	148988071	149101680	Dennd5b	113610
chr3	79455974	79567796	Fnip2	111823
chr13	49036303	49148014	Wnk2	111712
chr15	37967328	38078854	Ubr5	111527
chr19	4510472	4621752	Pcx	111281
