chr	start	end	genename	width
chrX	82948870	85206141	Dmd	2257272
chr12	37817726	38634239	Dgkb	816514
chr10	109681259	110456204	Nav3	774946
chr16	72308306	73046095	Robo1	737790
chr2	22227503	22618252	Myo3a	390750
chr17	85090552	85458588	Camkmt	368037
chr11	65831282	66168551	Dnah9	337270
chr8	112570043	112882717	Cntnap4	312675
chr11	84129672	84401651	Acaca	271980
chr8	77250366	77517953	Arhgap10	267588
chr19	24294794	24555872	Pip5k1b	261079
chr17	43801351	44039516	Rcan2	238166
chr18	10325177	10562940	Greb1l	237764
chr12	85824659	86061893	Ttll5	237235
chr5	73019987	73256619	Fryl	236633
chr16	84949685	85173766	App	224082
chr3	105452330	105674002	Kcnd3	221673
chr6	73017606	73221651	Dnah6	204046
chr9	113741473	113919682	Clasp2	178210
chr9	66350450	66508775	Herc1	158326
chr4	82897920	83052339	Frem1	154420
chr11	87405065	87555823	Tex14	150759
chr8	128358604	128503363	Nrp1	144760
chr1	193207725	193343878	Lamb3	136154
chr7	120409647	120544813	Abca16	135167
chr16	57624258	57754737	Col8a1	130480
chr8	25601601	25719667	Nsd3	118067
chr6	148988071	149101680	Dennd5b	113610
chr16	90386013	90499553	Hunk	113541
chr1	138062861	138175708	Ptprc	112848
chrX	52053021	52165252	Gpc4	112232
chr11	70844778	70943105	Rabep1	98328
chr9	58063788	58153996	Stra6	90209
chr2	101560781	101649532	Iftap	88752
chr13	98839019	98926384	Tnpo1	87366
chr12	111574523	111656221	Mark3	81699
chr11	102475915	102556392	Gpatch8	80478
chr10	88746607	88826804	Utp20	80198
chr6	65042583	65116061	Smarcad1	73479
chr6	4674350	4747207	Sgce	72858
chr5	123749716	123821593	Kntc1	71878
chr5	23434441	23504235	Kmt2e	69795
chr1	164151838	164220277	F5	68440
chr7	128062640	128128160	Itgam	65521
chr17	31286792	31350739	Slc37a1	63948
chr11	31872211	31935634	Cpeb4	63424
chr6	37983739	38046996	Svopl	63258
chr6	115618067	115676635	Raf1	58569
chr9	103250521	103305082	1300017J02Rik	54562
chr19	38132781	38183958	Pde6c	51178
chr19	3767421	3818303	Kmt5b	50883
chr4	106680417	106730925	Mroh7	50509
chrX	147383476	147429192	Il13ra2	45717
chr9	75565621	75611325	Tmod2	45705
chr11	23256041	23298249	Xpo1	42209
chr15	58094044	58135082	Atad2	41039
chr12	65132734	65172604	Mis18bp1	39871
chr5	30232581	30272427	Selenoi	39847
chr1	139454772	139494091	Aspm	39320
chr5	77310147	77349324	Polr2b	39178
chr10	89408823	89443967	Gas2l3	35145
chr7	25721165	25754757	Hnrnpul1	33593
chr1	175880581	175913489	Exo1	32909
chr5	149439660	149470979	Tex26	31320
chr2	119516505	119547627	Exd1	31123
chrX	101295839	101325963	Nlgn3	30125
chr19	46044886	46072915	Pprc1	28030
chr19	11139664	11165320	Ms4a19	25657
chr6	113282307	113305627	Cpne9	23321
chr15	88955884	88979007	Mlc1	23124
chr3	116007462	116029017	Extl2	21556
chr17	12888729	12910230	Pnldc1	21502
chr5	86657631	86676362	Tmprss11b	18732
chr2	28566311	28583279	Gtf3c5	16969
chr17	14945009	14961273	Phf10	16265
chr19	58728887	58744169	Pnliprp1	15283
chr14	65819038	65833994	Esco2	14957
chr19	3935186	3949340	Unc93b1	14155
chr12	69296681	69310687	Klhdc2	14007
chr8	69808679	69821870	Gmip	13192
chr2	152911352	152923068	Mylk2	11717
chr17	31844250	31855804	Sik1	11555
chr3	55045469	55055501	Ccna1	10033
chr10	128790910	128800824	Mmp19	9915
chr1	87147655	87156521	Ecel1	8867
chr8	9969049	9977686	Lig4	8638
chr15	79134655	79141253	1700088E04Rik	6599
chr15	97964200	97970275	Tmem106c	6076
