chr	start	end	genename	width
chr13	51846678	51848468	Gadd45g	1791
chrX	38189793	38197046	Zbtb33	7254
chr10	63014664	63024217	Hnrnph3	9554
chr11	30976707	30986350	Chac2	9644
chr3	157534160	157548410	Zranb2	14251
chr17	57091370	57105942	Gm11110	14573
chr16	32084416	32099740	Pigx	15325
chr6	129766568	129784270	Klrh1	17703
chr10	112083354	112108098	Glipr1l2	24745
chr7	6252710	6282066	Epp13	29357
chr9	122351608	122381524	Abhd5	29917
chr1	143716338	143749676	Glrx2	33339
chr1	139454772	139494091	Aspm	39320
chr13	97137937	97181195	Gfm2	43259
chr6	71588972	71632990	Kdm3a	44019
chr15	83299739	83350247	Arfgap3	50509
chr2	29124181	29182471	Setx	58291
chr3	40949828	41012377	Larp1b	62550
chr4	137593755	137658537	Usp48	64783
chr1	71585520	71653200	Fn1	67681
chr16	27849930	27926128	Gm10823	76199
chr12	101834043	101913267	Trip11	79225
chr7	121083249	121163097	Otoa	79849
chr11	54438199	54518235	Fnip1	80037
chr12	51743722	51829536	Hectd1	85815
chr1	58997116	59094900	C2cd6	97785
chr3	35754134	35856276	Atp11b	102143
chr11	30771726	30880361	Psme4	108636
chr1	159232320	159347640	Cop1	115321
chrX	60055956	60179089	Mcf2	123134
chr2	69897246	70024013	Ubr3	126768
chrX	102513975	102644246	Phka1	130272
chrX	151800883	151935417	Huwe1	134535
chr10	115450311	115587780	Lgr5	137470
chr1	60180599	60338328	Nbeal1	157730
chr9	41964720	42124297	Sorl1	159578
chr4	74013442	74202214	Frmd3	188773
chr10	43950636	44148853	Crybg1	198218
chr8	117257064	117459430	Cmip	202367
chr5	67618140	67847434	Atp8a1	229295
chr2	52136647	52378474	Neb	241828
chr6	21985916	22256404	Cped1	270489
chr2	76703980	76982547	Ttn	278568
chr3	55242364	55539068	Dclk1	296705
chr12	50341231	50649098	Prkd1	307868
chr8	110266977	110610253	Hydin	343277
chr2	17343909	17731464	Nebl	387556
chr12	79297282	79814690	Rad51b	517409
chr13	81095068	81633154	Adgrv1	538087
chr2	112631355	113217096	Ryr3	585742
