genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Cop1	0.58	TTR or breakage	3	[]
C2cd6	0.3	TTR or breakage	3	[]
Fn1	0.55	TTR or breakage	3	[]
Nbeal1	0.25	TTR or breakage	4	[]
Aspm	0.68	TTR or breakage	1	[]
Glrx2	0.48	noisy	1	[]
Ryr3	0.64	TTR or breakage	11	[('other', 2)]
Ubr3	0.21	TTR or breakage	4	[]
Neb	0.38	CTR	5	[('TTR or breakage', 1)]
Ttn	0.46	TTR or breakage	6	[]
Setx	0.19	other	2	[]
Nebl	0.31	TTR or breakage	9	[]
Larp1b	0.35	TTR or breakage	3	[]
Dclk1	0.25	other	7	[]
Atp11b	0.47	TTR or breakage	3	[]
Zranb2	0.59	other	1	[]
Usp48	0.13	other	2	[('IZ', 1)]
Frmd3	0.81	other	5	[]
Atp8a1	0.45	TTR or breakage	5	[]
Kdm3a	0.3	other	2	[]
Cped1	0.58	other	6	[('TTR or breakage', 1)]
Klrh1	0.87	other	1	[]
Epp13	0.44	TTR or breakage	1	[]
Otoa	0.34	TTR or breakage	3	[]
Cmip	0.28	TTR or breakage	5	[]
Hydin	0.3	TTR or breakage	7	[('termination', 1)]
Abhd5	0.27	other	1	[]
Sorl1	0.24	TTR or breakage	4	[]
Glipr1l2	0.4	TTR or breakage	2	[]
Hnrnph3	0.19	TTR or breakage	1	[]
Lgr5	0.4	noisy	3	[]
Crybg1	0.44	TTR or breakage	4	[]
Fnip1	0.26	TTR or breakage	2	[('other', 1)]
Chac2	0.53	termination	1	[]
Psme4	0.5	TTR or breakage	3	[]
Hectd1	0.21	TTR or breakage	2	[('IZ', 1)]
Trip11	0.47	TTR or breakage	3	[]
Prkd1	0.68	termination	3	[('other', 2), ('TTR or breakage', 2)]
Rad51b	0.17	TTR or breakage	9	[('other', 3)]
Adgrv1	0.35	noisy	8	[('TTR or breakage', 2), ('termination', 2)]
Gfm2	0.24	TTR or breakage	2	[]
Gadd45g	0.23	IZ	1	[]
Arfgap3	0.18	other	3	[]
Gm10823	0.68	other	3	[]
Pigx	0.21	other	1	[]
Gm11110	0.25	TTR or breakage	2	[]
