chr	start	end	genename
chr11	118021723	118129219	Dnah17
chr13	11553102	12106945	Ryr2
chr1	133309827	133329688	Kiss1
chr2	121193281	121211975	Trp53bp1
chr3	105452330	105674002	Kcnd3
chr2	82943634	83008937	Fsip2
chr8	60993195	61131339	Nek1
chr5	137295704	137307674	Srrt
chr6	73017606	73221631	Dnah6
chr3	88950622	89079375	Ash1l
chr13	13590397	13636259	Lyst
chr5	77310147	77349324	Polr2b
chr13	104205124	104228822	Ppwd1
chr5	149439660	149470620	Tex26
chr13	98839019	98891040	Tnpo1
chr19	4000626	4005816	Doc2g
chr11	100582818	100584786	Dnajc7
chr1	193207725	193343878	Lamb3
chr2	32095528	32110820	Plpp7
chr11	65831282	66168533	Dnah9
chr2	101560781	101628990	Iftap
chr15	66780819	66831646	Sla
chr1	150392838	150449815	Tpr
chr10	79996494	80015572	Abca7
chr6	113282307	113305569	Cpne9
chr17	35049966	35058749	Clic1
chr13	38151294	38198577	Dsp
chrX	51387212	51681703	Hs6st2
chr6	42286685	42298924	Clcn1
chr7	45872772	45883732	Kdelr1
chr5	150522630	150529840	Brca2
chr19	55180733	55189665	Tectb
chr2	76703980	76982455	Ttn
chr3	135438149	135465237	Ube2d3
chr19	36554639	36621132	Hectd2
chr17	67697259	67822647	Lama1
chr3	95058530	95106875	Pip5k1a
chr2	60417543	60553308	Pla2r1
chr11	79993106	80034122	Suz12
chr2	78868124	78870607	Ube2e3
chr16	29231851	29378732	Atp13a5
chr12	82169320	82240674	Sipa1l1
chr6	83362373	83441675	Tet3
chr4	106680417	106727930	Mroh7
chr3	97203662	97227364	Bcl9
chr16	36693978	36726804	Ildr1
chr13	46679905	46727940	Nup153
chr1	191351975	191397041	Ppp2r5a
chr2	155490379	155514848	Ggt7
chr7	25721165	25754757	Hnrnpul1
