chr	start	end	genename	replication_feature
chr16	16707614	16718096	4933404G15Rik	TTR
chr9	122351608	122381524	Abhd5	other
chr3	148815583	148828548	Adgrl2	other
chr1	139454772	139494088	Aspm	other
chr15	58094044	58098776	Atad2	IZ
chr3	35754134	35829688	Atp11b	breakage
chr5	67618140	67847370	Atp8a1	breakage
chr1	58997116	59094893	C2cd6	TTR
chr11	30976707	30986350	Chac2	other
chr8	117257064	117459430	Cmip	other
chr1	159232320	159250119	Cop1	other
chr1	172082529	172122325	Copa	IZ
chr6	21985916	22256404	Cped1	other
chr3	55242364	55539068	Dclk1	other
chr3	129677565	129755316	Egf	other
chr7	6252710	6281859	Epp13	TTR
chr1	71585520	71653172	Fn1	breakage
chr11	54438199	54518235	Fnip1	other
chr4	74013442	74202214	Frmd3	late_CTR
chr11	41910203	42000857	Gabrg2	late_CTR
chr13	51846678	51848468	Gadd45g	other
chr13	97137937	97155477	Gfm2	other
chr10	112083354	112107311	Glipr1l2	TTR
chr16	27849930	27926128	Gm10823	other
chr10	63014664	63023894	Hnrnph3	other
chrX	151800883	151804511	Huwe1	NA
chr6	148770683	148789991	Ipo8	TTR
chr6	71588972	71632905	Kdm3a	other
chr3	40949828	40977782	Larp1b	breakage
chr10	115450311	115587780	Lgr5	other
chr1	60180599	60338328	Nbeal1	other
chr2	52136647	52338798	Neb	other
chr2	17343909	17731043	Nebl	TTR
chr7	121083249	121091595	Otoa	TTR
chrX	102513975	102644246	Phka1	NA
chr1	20057779	20618064	Pkhd1	other
chr12	50341231	50649098	Prkd1	termination
chr11	30771726	30880361	Psme4	other
chr12	79297282	79814690	Rad51b	other
chr5	63908897	63968897	Rell1	TTR
chr2	112631355	113217087	Ryr3	termination
chr9	41964720	42124297	Sorl1	other
chr8	126425329	126475065	Tarbp1	other
chr2	76703980	76982455	Ttn	other
chr2	69897246	70024013	Ubr3	other
chr9	73479422	73968966	Unc13c	termination
chr11	23306895	23490560	Usp34	other
chr4	137593755	137605908	Usp48	other
chr3	159839672	159936023	Wls	TTR
chr2	147012996	147078000	Xrn2	other
